frame,gpu_ms,cpu_ms,triangles,draws
0,18.8865,1.061,1063849,593
1,20.5199,1.051,1063849,593
2,17.311,1.048,1063849,593
3,18.1633,1.001,1063849,593
4,17.5565,1.112,1063849,593
5,17.3751,1.12,1063849,593
6,18.2396,1.119,1063849,593
7,17.3774,1.039,1063849,593
8,18.2844,0.933,1063849,593
9,17.644,1.156,1063849,593
10,17.1635,1.07,1063849,593
11,18.8017,0.876,1063849,593
12,17.3761,1.111,1063849,593
13,17.093,0.925,1063849,593
14,17.2552,0.957,1063849,593
15,18.0931,0.889,1063849,593
16,17.6878,1.449,1063849,593
17,17.3754,0.969,1063849,593
18,18.3737,1.016,1063849,593
19,18.0736,1.138,1063849,593
20,17.3734,1.063,1063849,593
21,18.1559,0.977,1063849,593
22,18.2382,1.031,1063849,593
23,17.6428,1.059,1063849,593
24,17.5731,1.201,1063849,593
25,18.4467,0.913,1063849,593
26,17.7396,1.502,1063849,593
27,16.8331,0.951,1063849,593
28,18.7225,1.127,1063849,593
29,18.6376,1.052,1063849,593
30,17.7146,1.2,1063849,593
31,18.3093,1.037,1063849,593
32,17.8077,1.122,1063849,593
33,17.5778,1.138,1063849,593
34,18.8974,0.932,1063849,593
35,17.7729,1.188,1063849,593
36,18.3999,1.084,1063849,593
37,17.494,1.19,1063849,593
38,19.0565,1.075,1063849,593
39,17.468,1.082,1063849,593
40,17.577,0.949,1063849,593
41,17.7444,1.386,1063849,593
42,17.7378,1.054,1063849,593
43,18.9503,0.896,1063849,593
44,18.0202,1.323,1063849,593
45,18.8261,0.949,1063849,593
46,18.3832,1.129,1063849,593
47,17.9209,1.053,1063849,593
48,18.677,0.868,1063849,593
49,17.7379,1.041,1063849,593
50,18.8891,1.044,1063849,593
51,17.7815,1.143,1063849,593
52,17.8117,0.932,1063849,593
53,17.8518,0.858,1063849,593
54,17.6574,0.904,1063849,593
55,17.3627,1.039,1063849,593
56,19.6047,0.885,1063849,593
57,17.9084,1.461,1063849,593
58,18.6121,0.857,1063849,593
59,17.9691,1.082,1063849,593
60,18.3517,1.061,1063849,593
61,18.2136,0.987,1063849,593
62,18.4867,1.135,1063849,593
63,17.5557,1.165,1063849,593
64,18.9697,0.952,1063849,593
65,18.3052,1.086,1063849,593
66,17.8803,1.21,1063849,593
67,17.5805,1.077,1063849,593
68,18.2669,0.884,1063849,593
69,17.0937,0.9,1063849,593
70,17.9424,0.916,1063849,593
71,18.974,0.833,1063849,593
72,18.0059,1.204,1063849,593
73,18.218,1.037,1063849,593
74,17.9444,1.175,1063849,593
75,18.023,0.967,1063849,593
76,17.7086,1.012,1063849,593
77,19.7078,1.063,1063849,593
78,18.0402,1.19,1063849,593
79,18.057,0.946,1063849,593
80,17.8977,1.242,1063849,593
81,19.0132,0.997,1063849,593
82,17.9286,1.05,1063849,593
83,18.7813,0.899,1063849,593
84,18.1664,1.202,1063849,593
85,18.9807,1.05,1063849,593
86,18.1432,1.095,1063849,593
87,18.2278,0.853,1063849,593
88,18.2145,1.06,1063849,593
89,18.9398,1.051,1063849,593
90,18.1515,1.145,1063849,593
91,18.4641,1.025,1063849,593
92,19.0413,1.177,1063849,593
93,18.3065,1.159,1063849,593
94,18.9495,1.014,1063849,593
95,18.2575,1.07,1063849,593
96,18.0367,1.298,1063849,593
97,18.1326,1.014,1063849,593
98,18.864,0.897,1063849,593
99,19.0679,1.292,1063849,593
100,17.9978,1.2,1063849,593
101,18.0272,1.086,1063849,593
102,19.6584,1.076,1063849,593
103,18.1932,1.048,1063849,593
104,18.5404,1.074,1063849,593
105,19.0526,1.313,1063849,593
106,19.0611,1.169,1063849,593
107,17.9556,1.061,1063849,593
108,18.1534,0.893,1063849,593
109,18.3871,1.02,1063849,593
110,19.6413,1.291,1063849,593
111,18.3017,1.112,1063849,593
112,18.2124,1.07,1063849,593
113,18.8451,1.065,1063849,593
114,18.6188,1.4,1063849,593
115,18.2166,1.356,1063849,593
116,18.6486,1.049,1063849,593
117,18.2098,1.22,1063849,593
118,19.0242,1.115,1063849,593
119,17.961,0.985,1063849,593
120,19.1286,0.826,1063849,593
121,18.0776,1.134,1063849,593
122,18.7053,1.153,1063849,593
123,18.82,1.008,1063849,593
124,18.3591,0.949,1063849,593
125,19.001,0.999,1063849,593
126,18.8192,1.231,1063849,593
127,18.1766,1.049,1063849,593
128,18.7072,0.92,1063849,593
