frame,gpu_ms,cpu_ms,triangles,draws
0,19.178,1.093,1063849,1699
1,19.7635,1.108,1063849,1699
2,17.3289,0.991,1063849,1699
3,18.1306,1.062,1063849,1699
4,17.4235,1.153,1063849,1699
5,18.115,1.17,1063849,1699
6,17.3891,1.224,1063849,1699
7,17.8791,1.074,1063849,1699
8,18.2292,1.152,1063849,1699
9,17.9103,1.163,1063849,1699
10,17.6034,1.128,1063849,1699
11,17.2648,1.12,1063849,1699
12,18.3578,1.095,1063849,1699
13,17.816,1.174,1063849,1699
14,17.5444,1.238,1063849,1699
15,18.2092,1.019,1063849,1699
16,17.3548,1.642,1063849,1699
17,17.435,1.231,1063849,1699
18,17.7972,0.92,1063849,1699
19,17.3446,0.971,1063849,1699
20,18.2536,0.886,1063849,1699
21,17.2279,1.105,1063849,1699
22,18.1572,0.921,1063849,1699
23,17.42,1.104,1063849,1699
24,18.5923,0.993,1063849,1699
25,18.7528,1.241,1063849,1699
26,17.4097,1.071,1063849,1699
27,17.9755,1.048,1063849,1699
28,18.69,1.062,1063849,1699
29,17.265,1.381,1063849,1699
30,17.9841,1.238,1063849,1699
31,17.6871,1.17,1063849,1699
32,17.3473,1.066,1063849,1699
33,18.4036,1.041,1063849,1699
34,17.5462,1.17,1063849,1699
35,18.1872,1.196,1063849,1699
36,17.5652,1.026,1063849,1699
37,17.7393,1.413,1063849,1699
38,17.8139,1.2,1063849,1699
39,18.3222,0.983,1063849,1699
40,17.851,1.05,1063849,1699
41,17.6701,1.286,1063849,1699
42,18.2805,1.13,1063849,1699
43,18.9114,1.216,1063849,1699
44,17.8285,1.07,1063849,1699
45,17.6636,1.211,1063849,1699
46,18.1201,0.983,1063849,1699
47,17.6566,1.165,1063849,1699
48,18.4953,1.082,1063849,1699
49,17.7409,1.037,1063849,1699
50,18.3159,0.866,1063849,1699
51,17.4888,1.545,1063849,1699
52,18.4098,1.103,1063849,1699
53,17.8608,1.105,1063849,1699
54,17.4421,0.988,1063849,1699
55,18.563,1.096,1063849,1699
56,17.8347,1.107,1063849,1699
57,18.8019,1.077,1063849,1699
58,17.6708,1.168,1063849,1699
59,17.9074,0.959,1063849,1699
60,17.6557,1.413,1063849,1699
61,18.3807,1.212,1063849,1699
62,18.2437,1.051,1063849,1699
63,18.0146,1.167,1063849,1699
64,18.4443,1.176,1063849,1699
65,18.0477,1.204,1063849,1699
66,17.7749,1.376,1063849,1699
