frame,gpu_ms,cpu_ms,triangles,draws
0,16.9996,1.122,536221,593
1,17.7266,1.424,536221,593
2,14.4302,1.125,562736,593
3,15.5279,1.019,565256,593
4,15.4594,1.293,570322,593
5,15.2793,1.063,570698,593
6,14.8306,1.114,572166,593
7,14.9647,1.062,572166,593
8,15.7316,1.016,571986,593
9,15.3543,1.106,571688,593
10,14.9185,0.971,571414,593
11,16.5683,1.062,571414,593
12,15.3018,1.194,573618,593
13,15.0693,1.093,573618,593
14,14.9371,0.893,573064,593
15,15.0256,1.38,573064,593
16,15.151,1.057,573452,593
17,15.1502,1.078,574072,593
18,15.1098,0.999,574248,593
19,15.6875,0.826,573378,593
20,16.0194,1.022,573378,593
21,15.7624,1.152,573282,593
22,16.0139,1.085,572876,593
23,15.3593,1.084,572876,593
24,15.3047,1.121,572876,593
25,16.5413,0.962,572910,593
26,15.7311,1.169,572572,593
27,15.1196,1.032,572572,593
28,15.8373,0.946,572572,593
29,15.3983,1.131,572572,593
30,15.2218,1.116,572572,593
31,16.8217,1.144,572572,593
32,15.5064,1.079,572572,593
33,16.1583,0.926,574063,593
34,15.2882,1.082,575419,593
35,16.8407,0.856,575419,593
36,15.6612,1.079,575743,593
37,15.5542,1.019,572711,593
38,16.338,0.942,573159,593
39,15.6974,1.222,573159,593
40,15.1907,0.98,574487,593
41,16.0332,1.041,574487,593
42,15.9705,1.281,574487,593
43,16.1268,1.2,574723,593
44,15.3414,1.095,574915,593
45,16.0991,1.018,576473,593
46,15.4655,0.835,576553,593
47,15.9698,0.858,579585,593
48,16.1169,1.051,579257,593
49,15.8321,1.106,578945,593
50,15.2361,0.923,579813,593
51,16.6631,1.146,579813,593
52,15.5374,1.053,579813,593
53,15.0427,0.95,579813,593
54,16.6955,0.939,580303,593
55,15.748,1.157,580331,593
56,16.7681,1.133,580363,593
57,16.033,1.287,581899,593
58,15.797,1.1,581685,593
59,16.805,1.124,581685,593
60,15.8497,1.088,581997,593
61,15.5282,1.02,583125,593
62,14.8691,1.044,583125,593
63,16.9802,1.022,584161,593
64,15.6453,1.607,583679,593
65,15.6709,1.103,584051,593
66,16.0728,0.93,584585,593
67,15.5185,1.035,584593,593
68,15.4392,0.977,584593,593
69,17.1293,1.104,585253,593
70,15.3019,1.312,572037,593
71,15.475,1.104,570693,593
72,16.1336,0.829,571613,593
73,15.5282,1.128,571685,593
74,15.4955,0.997,571983,593
75,15.4864,0.96,571983,593
76,16.742,1.005,571983,593
77,15.6982,1.073,571983,593
78,16.2856,1.014,571983,593
79,16.4932,1.065,571739,593
80,15.6725,1.183,571739,593
81,15.5875,1.006,571731,593
82,16.6007,0.963,570851,593
83,15.5646,1.225,569293,593
84,15.8155,1.089,569293,593
85,17.3151,0.847,569293,593
86,15.5004,1.297,568965,593
87,15.3994,0.971,568773,593
88,16.7841,1.037,568773,593
89,15.86,1.126,568773,593
90,16.2302,1.155,568773,593
91,15.7922,1.143,568049,593
92,15.5584,1.146,568049,593
93,15.6008,0.986,565827,593
94,15.633,1,564381,593
95,15.581,0.88,564125,593
96,17.1229,0.867,564125,593
97,15.5267,1.466,564125,593
98,16.2878,1.029,564125,593
99,16.4088,1.02,564125,593
100,15.8873,1.461,576888,593
101,16.471,0.92,576888,593
102,15.9274,1.081,575532,593
103,16.0665,1.178,575300,593
104,17.0872,0.844,574340,593
105,16.2074,1.153,572930,593
106,16.0755,0.989,572802,593
107,17.0483,1.262,572802,593
108,15.9477,1.342,572802,593
109,16.9177,0.919,572802,593
110,16.047,1.086,570374,593
111,16.0243,1.075,570374,593
112,16.0062,1.182,570544,593
113,15.8593,1.034,570544,593
114,16.4319,0.957,570544,593
115,16.0347,0.999,570544,593
116,17.095,0.817,570544,593
117,16.3178,1.106,570544,593
118,16.8012,1.201,570544,593
119,16.4179,1.196,570544,593
120,16.057,1.151,570544,593
121,15.6764,1.107,570997,593
122,17.1025,0.905,570997,593
123,16.0938,1.207,570997,593
124,15.6918,0.927,570997,593
125,16.4573,1.093,570681,593
126,15.9982,1.099,570693,593
127,16.8085,0.97,570693,593
128,15.8456,0.892,570543,593
129,15.886,1.034,570543,593
130,16.9672,0.984,570543,593
131,16.2375,1.398,570543,593
132,16.0226,0.996,570543,593
133,16.1537,0.902,569639,593
134,16.1434,0.9,568119,593
135,16.4464,0.863,568051,593
136,17.2339,1.079,568051,593
137,16.1096,0.978,568051,593
138,15.792,1.01,566933,593
139,16.6278,1.057,566645,593
140,15.6712,1.308,566645,593
141,16.2461,1.091,566921,593
142,15.907,0.939,565021,593
143,16.5142,0.985,565021,593
144,15.9172,1.015,564161,593
145,17.1552,1.078,565479,593
146,15.8133,1.107,567647,593
147,16.6871,0.963,566661,593
148,16.0558,1.144,566789,593
149,16.1376,1.017,566789,593
150,15.7107,1.096,566491,593
151,15.8571,1.043,566491,593
152,16.2632,0.925,561999,593
153,15.2392,1.016,562431,593
154,15.0948,0.979,562431,593
155,15.9351,1.062,562527,593
156,16.3519,1.094,562853,593
157,15.3166,1.068,557521,593
158,15.8844,0.987,557585,593
159,15.8008,1.048,557585,593
160,15.4619,1.208,557889,593
161,16.1978,0.988,557485,593
162,15.8344,1.377,557209,593
163,15.4407,1.305,557209,593
164,15.2037,1.076,556931,593
165,16.054,1.003,556507,593
166,15.7547,1.164,556507,593
167,15.603,1.094,556507,593
168,16.1922,1.086,556507,593
169,15.4385,1.234,556507,593
170,15.3569,1.059,556507,593
171,17.1414,0.863,554339,593
172,15.8412,1.082,552803,593
173,15.746,1.001,552803,593
174,15.554,1.394,552491,593
175,15.5366,0.946,552491,593
176,16.0781,0.977,552367,593
177,16.3228,1.128,552151,593
178,16.0834,1.176,552055,593
179,15.8135,1.112,554453,593
180,17.2572,1.083,554777,593
181,15.7521,1.155,554777,593
182,15.7936,1.144,555201,593
183,15.7375,0.903,555477,593
184,15.6281,1.134,555477,593
185,16.0106,0.84,555477,593
186,16.7118,0.961,557381,593
187,15.8581,1.215,557513,593
188,15.9947,1.006,557689,593
189,16.8737,1.028,557689,593
190,15.8551,1.302,557689,593
191,15.8713,0.939,558601,593
192,16.6138,0.911,558601,593
193,15.9016,1.083,558601,593
194,16.0396,1.113,558601,593
