frame,gpu_ms,cpu_ms,triangles,draws
0,19.0774,2.863,1063849,1699
1,19.1597,2.728,1063849,1699
2,17.5758,2.616,1063849,1699
3,18.1517,2.655,1063849,1699
4,18.4137,2.853,1063849,1699
5,17.9486,2.94,1063849,1699
6,17.4688,2.987,1063849,1699
7,18.2417,2.932,1063849,1699
8,17.6807,3.283,1063849,1699
9,17.2656,2.854,1063849,1699
10,18.0699,2.928,1063849,1699
11,17.4127,2.897,1063849,1699
12,17.8872,2.658,1063849,1699
13,17.085,2.77,1063849,1699
14,18.7475,2.913,1063849,1699
15,17.4684,2.815,1063849,1699
16,17.6472,2.849,1063849,1699
17,17.5924,2.809,1063849,1699
18,17.4322,2.792,1063849,1699
19,18.2029,2.769,1063849,1699
20,17.3847,2.672,1063849,1699
21,18.2204,2.645,1063849,1699
22,17.9122,3.689,1063849,1699
23,17.164,2.707,1063849,1699
24,18.2445,2.781,1063849,1699
25,17.2252,2.796,1063849,1699
26,18.0857,2.696,1063849,1699
27,17.8847,3.238,1063849,1699
28,17.6181,3.1,1063849,1699
29,17.4793,2.895,1063849,1699
30,18.2829,2.639,1063849,1699
31,18.4226,2.967,1063849,1699
32,18.0889,2.878,1063849,1699
33,17.345,2.784,1063849,1699
34,17.8935,2.742,1063849,1699
35,17.9082,2.887,1063849,1699
36,17.6762,2.884,1063849,1699
37,17.6277,2.737,1063849,1699
38,18.7657,2.734,1063849,1699
39,17.3833,3.058,1063849,1699
40,18.183,2.842,1063849,1699
41,17.7527,2.726,1063849,1699
42,18.3548,2.775,1063849,1699
43,17.722,2.957,1063849,1699
44,17.4657,2.744,1063849,1699
45,18.3746,2.711,1063849,1699
46,18.4478,2.892,1063849,1699
47,17.885,2.77,1063849,1699
48,18.9246,2.79,1063849,1699
49,17.6477,2.925,1063849,1699
50,17.8352,2.743,1063849,1699
51,17.9409,2.546,1063849,1699
52,17.6168,3.023,1063849,1699
53,17.8254,2.753,1063849,1699
54,18.2412,2.566,1063849,1699
55,18.1943,2.98,1063849,1699
56,17.3672,2.786,1063849,1699
57,16.9508,2.834,1063849,1699
58,18.1128,2.736,1063849,1699
59,17.7772,2.826,1063849,1699
60,17.8126,2.823,1063849,1699
61,16.7278,2.756,1063849,1699
62,17.5996,2.826,1063849,1699
63,18.1456,2.781,1063849,1699
64,17.4762,3.119,1063849,1699
65,17.324,2.737,1063849,1699
66,18.4322,2.624,1063849,1699
67,17.8099,2.962,1063849,1699
68,17.6809,2.737,1063849,1699
69,17.6484,2.572,1063849,1699
70,18.3158,2.699,1063849,1699
71,19.0501,2.938,1063849,1699
72,17.7478,2.983,1063849,1699
73,19.0447,2.65,1063849,1699
74,17.7745,3.205,1063849,1699
75,17.9422,2.756,1063849,1699
76,19.0011,2.618,1063849,1699
77,18.4116,2.845,1063849,1699
78,17.8684,2.946,1063849,1699
79,17.6418,2.712,1063849,1699
80,18.2789,2.643,1063849,1699
81,17.9603,2.985,1063849,1699
82,17.9332,2.881,1063849,1699
83,17.3786,2.696,1063849,1699
84,19.1326,2.717,1063849,1699
85,18.3074,2.928,1063849,1699
86,18.5324,2.602,1063849,1699
87,17.812,2.716,1063849,1699
88,19.3355,2.718,1063849,1699
89,18.229,2.842,1063849,1699
90,18.2439,3.024,1063849,1699
91,18.4353,2.755,1063849,1699
92,17.5283,2.839,1063849,1699
93,19.456,2.832,1063849,1699
94,18.2774,2.844,1063849,1699
95,18.9252,2.718,1063849,1699
96,18.3498,2.804,1063849,1699
97,19.4581,2.759,1063849,1699
98,18.1537,2.863,1063849,1699
99,18.5664,2.826,1063849,1699
100,18.9834,2.541,1063849,1699
101,18.5073,3.124,1063849,1699
102,18.1062,2.808,1063849,1699
103,19.5238,2.817,1063849,1699
104,18.1508,2.831,1063849,1699
105,19.0921,2.805,1063849,1699
106,18.1692,2.987,1063849,1699
107,19.6073,2.643,1063849,1699
108,18.8227,2.969,1063849,1699
109,18.3323,2.911,1063849,1699
110,18.6468,2.651,1063849,1699
111,18.7258,2.787,1063849,1699
112,18.5098,2.841,1063849,1699
113,18.0248,2.856,1063849,1699
114,18.9359,2.782,1063849,1699
115,19.0597,3.051,1063849,1699
116,18.0108,2.872,1063849,1699
117,18.2915,2.791,1063849,1699
118,18.8742,2.829,1063849,1699
119,18.1315,3.361,1063849,1699
120,19.3171,2.826,1063849,1699
121,18.4718,2.865,1063849,1699
122,18.6974,2.968,1063849,1699
123,18.7665,2.648,1063849,1699
124,18.1132,2.94,1063849,1699
125,18.6327,2.811,1063849,1699
126,17.9774,2.913,1063849,1699
127,18.0577,2.673,1063849,1699
128,18.9158,2.676,1063849,1699
129,18.4531,2.93,1063849,1699
130,19.2223,2.853,1063849,1699
131,18.2804,2.916,1063849,1699
132,18.0716,3.253,1063849,1699
133,17.7229,2.776,1063849,1699
134,18.7937,2.835,1063849,1699
135,18.6789,3.051,1063849,1699
136,18.0173,2.958,1063849,1699
137,18.4805,2.909,1063849,1699
138,17.7632,2.933,1063849,1699
139,17.7401,2.823,1063849,1699
140,18.1252,2.691,1063849,1699
141,18.2413,2.907,1063849,1699
142,17.6874,2.804,1063849,1699
143,18.3946,2.872,1063849,1699
144,18.4291,2.828,1063849,1699
145,17.9643,2.977,1063849,1699
146,18.1542,2.775,1063849,1699
147,19.113,2.812,1063849,1699
148,17.7339,2.792,1063849,1699
149,17.9694,2.787,1063849,1699
150,18.4123,2.708,1063849,1699
151,19.3103,2.756,1063849,1699
152,18.157,2.996,1063849,1699
153,18.6306,2.924,1063849,1699
154,18.1546,2.722,1063849,1699
155,19.4741,2.915,1063849,1699
156,18.1939,3.034,1063849,1699
157,17.9154,2.882,1063849,1699
158,19.0804,2.801,1063849,1699
159,18.0533,2.92,1063849,1699
160,18.0682,2.704,1063849,1699
161,18.8426,2.92,1063849,1699
162,17.8343,2.84,1063849,1699
